Attrition,Business Travel,Department,Education Field,Employee Number,Gender,Job Role,Marital Status,Over Time,Over18,Training Times Last Year,Work Life Balance,Age,Attrition %,Daily Rate,Distance From Home,dummy,Education,Employee Count,Environment Satisfaction,female#,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,male#,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
No,Travel_Rarely,Research & Development,Medical,18,Male,Laboratory Technician,Divorced,No,Y,2,Good,34,0.00%,1346,19,0,2,1,2,0,93,3,1,4,1,2661,8758,0,11,3,3,80,1,3,2,2,1,2
Yes,Travel_Rarely,Research & Development,Life Sciences,19,Male,Laboratory Technician,Single,Yes,Y,4,Good,28,100.00%,103,24,0,3,1,3,0,50,2,1,3,1,2028,12947,5,14,3,2,80,0,6,4,2,0,3
No,Travel_Rarely,Research & Development,Life Sciences,20,Female,Manufacturing Director,Divorced,No,Y,1,Good,29,0.00%,1389,21,0,4,1,2,1,51,4,3,1,0,9980,10195,1,11,3,3,80,1,10,10,9,8,8
No,Travel_Rarely,Research & Development,Life Sciences,21,Male,Research Scientist,Divorced,Yes,Y,5,Avg,32,0.00%,334,5,0,2,1,1,0,80,4,1,2,1,3298,15053,0,12,3,4,80,2,7,6,2,0,5
No,Non-Travel,Research & Development,Medical,22,Male,Laboratory Technician,Divorced,Yes,Y,2,Avg,22,0.00%,1123,16,0,2,1,4,0,96,4,1,4,1,2935,7324,1,13,3,2,80,2,1,1,0,0,0
No,Travel_Rarely,Sales,Life Sciences,23,Female,Manager,Married,No,Y,3,Good,53,0.00%,1219,2,0,4,1,1,1,78,2,4,4,0,15427,22021,2,16,3,3,80,0,31,25,8,3,7
No,Travel_Rarely,Research & Development,Life Sciences,24,Male,Research Scientist,Single,Yes,Y,3,Good,38,0.00%,371,2,0,3,1,4,0,45,3,1,4,1,3944,4306,5,11,3,3,80,0,6,3,2,1,2
No,Non-Travel,Research & Development,Other,26,Female,Manufacturing Director,Divorced,No,Y,5,Avg,24,0.00%,673,11,0,2,1,1,1,96,4,2,3,0,4011,8232,0,18,3,4,80,1,5,4,2,1,3
Yes,Travel_Rarely,Sales,Life Sciences,27,Male,Sales Representative,Single,No,Y,4,Good,36,100.00%,1218,9,0,4,1,3,0,82,2,1,1,1,3407,6986,7,23,4,2,80,0,10,5,3,0,3
No,Travel_Rarely,Research & Development,Life Sciences,28,Female,Research Director,Single,No,Y,4,Good,34,0.00%,419,7,0,4,1,1,1,53,3,3,2,0,11994,21293,0,11,3,3,80,0,13,12,6,2,11
No,Travel_Rarely,Research & Development,Life Sciences,30,Male,Research Scientist,Single,No,Y,6,Good,21,0.00%,391,15,0,2,1,3,0,96,3,1,4,1,1232,19281,1,14,3,4,80,0,0,0,0,0,0
Yes,Travel_Rarely,Research & Development,Medical,31,Male,Research Scientist,Single,No,Y,2,Good,34,100.00%,699,6,0,1,1,2,0,83,3,1,1,1,2960,17102,2,11,3,3,80,0,8,4,2,1,3
No,Travel_Rarely,Research & Development,Other,32,Female,Manager,Divorced,No,Y,3,Avg,53,0.00%,1282,5,0,3,1,3,1,58,3,5,3,0,19094,10735,4,11,3,4,80,1,26,14,13,4,8
Yes,Travel_Frequently,Research & Development,Life Sciences,33,Female,Research Scientist,Single,Yes,Y,5,Good,32,100.00%,1125,16,0,1,1,2,1,72,1,1,1,0,3919,4681,1,22,4,2,80,0,10,10,2,6,7
No,Travel_Rarely,Sales,Marketing,35,Male,Sales Executive,Married,No,Y,2,Good,42,0.00%,691,8,0,4,1,3,0,48,3,2,2,1,6825,21173,0,11,3,4,80,1,10,9,7,4,2
No,Travel_Rarely,Research & Development,Medical,36,Female,Healthcare Representative,Married,No,Y,4,Good,44,0.00%,477,7,0,4,1,1,1,42,2,3,4,0,10248,2094,3,14,3,4,80,1,24,22,6,5,17
No,Travel_Rarely,Sales,Marketing,38,Female,Manager,Single,No,Y,2,Avg,46,0.00%,705,2,0,4,1,2,1,83,3,5,1,0,18947,22822,3,12,3,4,80,0,22,2,2,2,1
No,Travel_Rarely,Research & Development,Medical,39,Male,Laboratory Technician,Single,No,Y,3,Good,33,0.00%,924,2,0,3,1,3,0,78,3,1,4,1,2496,6670,4,11,3,4,80,0,7,1,1,0,0
No,Travel_Rarely,Research & Development,Other,40,Male,Healthcare Representative,Married,Yes,Y,5,Best,44,0.00%,1459,10,0,4,1,4,0,41,3,2,4,1,6465,19121,2,13,3,4,80,0,9,4,2,1,3
No,Travel_Rarely,Research & Development,Medical,41,Male,Laboratory Technician,Single,No,Y,5,Good,30,0.00%,125,9,0,2,1,4,0,83,2,1,3,1,2206,16117,1,13,3,1,80,0,10,10,0,1,8
Yes,Travel_Rarely,Sales,Technical Degree,42,Male,Sales Representative,Married,No,Y,6,Best,39,100.00%,895,5,0,3,1,4,0,56,3,2,4,1,2086,3335,3,14,3,3,80,1,19,1,0,0,0
Yes,Travel_Rarely,Research & Development,Medical,45,Male,Research Scientist,Married,Yes,Y,2,Avg,24,100.00%,813,1,0,3,1,2,0,61,3,1,4,1,2293,3020,2,16,3,1,80,1,6,2,0,2,0
No,Travel_Rarely,Research & Development,Medical,46,Female,Research Scientist,Divorced,No,Y,3,Avg,43,0.00%,1273,2,0,2,1,4,1,72,4,1,3,0,2645,21923,1,12,3,4,80,2,6,5,3,1,4
Yes,Travel_Rarely,Sales,Marketing,47,Male,Sales Representative,Married,Yes,Y,2,Good,50,100.00%,869,3,0,2,1,1,0,86,2,1,3,1,2683,3810,1,14,3,3,80,0,3,3,2,0,2
No,Travel_Rarely,Sales,Marketing,49,Female,Sales Representative,Married,No,Y,3,Good,35,0.00%,890,2,0,3,1,4,1,97,3,1,4,0,2014,9687,1,13,3,1,80,0,2,2,2,2,2
No,Travel_Rarely,Research & Development,Life Sciences,51,Female,Research Scientist,Married,Yes,Y,3,Best,36,0.00%,852,5,0,4,1,2,1,82,2,1,1,0,3419,13072,9,14,3,4,80,1,6,1,1,0,0
No,Travel_Frequently,Sales,Life Sciences,52,Female,Sales Executive,Married,No,Y,3,Good,33,0.00%,1141,1,0,3,1,3,1,42,4,2,1,0,5376,3193,2,19,3,1,80,2,10,5,3,1,3
No,Travel_Rarely,Research & Development,Other,53,Male,Laboratory Technician,Divorced,No,Y,3,Good,35,0.00%,464,4,0,2,1,3,0,75,3,1,4,1,1951,10910,1,12,3,3,80,1,1,1,0,0,0
No,Travel_Rarely,Research & Development,Life Sciences,54,Female,Laboratory Technician,Divorced,No,Y,6,Good,27,0.00%,1240,2,0,4,1,4,1,33,3,1,1,0,2341,19715,1,13,3,4,80,1,1,1,0,0,0
Yes,Travel_Rarely,Research & Development,Life Sciences,55,Male,Laboratory Technician,Single,No,Y,2,Avg,26,100.00%,1357,25,0,3,1,1,0,48,1,1,3,1,2293,10558,1,12,3,3,80,0,1,1,0,0,1
No,Travel_Frequently,Sales,Life Sciences,56,Male,Sales Executive,Single,No,Y,0,Good,27,0.00%,994,8,0,3,1,4,0,37,3,3,3,1,8726,2975,1,15,3,4,80,0,9,9,8,1,7
No,Travel_Frequently,Research & Development,Medical,57,Female,Laboratory Technician,Single,No,Y,2,Good,30,0.00%,721,1,0,2,1,3,1,58,3,2,4,0,4011,10781,1,23,4,4,80,0,12,12,8,3,7
Yes,Travel_Rarely,Research & Development,Technical Degree,58,Female,Research Director,Married,No,Y,0,Good,41,100.00%,1360,12,0,3,1,2,1,49,3,5,3,0,19545,16280,1,12,3,4,80,0,23,22,15,15,8
No,Non-Travel,Sales,Marketing,60,Male,Sales Executive,Single,No,Y,2,Good,34,0.00%,1065,23,0,4,1,2,0,72,3,2,3,1,4568,10034,0,20,4,3,80,0,10,9,5,8,7
No,Travel_Rarely,Research & Development,Life Sciences,61,Male,Research Scientist,Married,No,Y,1,Good,37,0.00%,408,19,0,2,1,2,0,73,3,1,2,1,3022,10227,4,21,4,1,80,0,8,1,0,0,0
No,Travel_Frequently,Sales,Marketing,62,Male,Sales Executive,Single,Yes,Y,4,Good,46,0.00%,1211,5,0,4,1,1,0,98,3,2,4,1,5772,20445,4,21,4,3,80,0,14,9,6,0,8
No,Travel_Rarely,Research & Development,Life Sciences,63,Male,Laboratory Technician,Married,No,Y,2,Good,35,0.00%,1229,8,0,1,1,4,0,36,4,1,4,1,2269,4892,1,19,3,4,80,0,1,1,0,0,1
Yes,Travel_Rarely,Research & Development,Life Sciences,64,Male,Laboratory Technician,Single,Yes,Y,2,Good,48,100.00%,626,1,0,2,1,1,0,98,2,3,3,1,5381,19294,9,13,3,4,80,0,23,1,0,0,0
Yes,Travel_Rarely,Research & Development,Technical Degree,65,Male,Laboratory Technician,Single,Yes,Y,3,Avg,28,100.00%,1434,5,0,4,1,3,0,50,3,1,3,1,3441,11179,1,13,3,3,80,0,2,2,2,2,2
No,Travel_Rarely,Sales,Marketing,68,Female,Sales Executive,Divorced,Yes,Y,2,Avg,44,0.00%,1488,1,0,5,1,2,1,75,3,2,1,0,5454,4009,5,21,4,3,80,1,9,4,3,1,3
No,Non-Travel,Research & Development,Medical,70,Male,Healthcare Representative,Married,Yes,Y,3,Good,35,0.00%,1097,11,0,2,1,3,0,79,2,3,1,1,9884,8302,2,13,3,3,80,1,10,4,0,2,3
No,Travel_Rarely,Sales,Marketing,72,Female,Sales Executive,Married,Yes,Y,2,Avg,26,0.00%,1443,23,0,3,1,3,1,47,2,2,4,0,4157,21436,7,19,3,3,80,1,5,2,2,0,0
No,Travel_Frequently,Research & Development,Life Sciences,73,Female,Research Director,Single,Yes,Y,1,Good,33,0.00%,515,1,0,2,1,1,1,98,3,3,4,0,13458,15146,1,12,3,3,80,0,15,15,14,8,12
No,Travel_Frequently,Sales,Life Sciences,74,Male,Sales Executive,Married,No,Y,3,Avg,35,0.00%,853,18,0,5,1,2,0,71,3,3,1,1,9069,11031,1,22,4,4,80,1,9,9,8,1,8
No,Travel_Rarely,Research & Development,Medical,75,Female,Laboratory Technician,Married,Yes,Y,3,Good,35,0.00%,1142,23,0,4,1,3,1,30,3,1,1,0,4014,16002,3,15,3,3,80,1,4,2,2,2,2
No,Travel_Rarely,Research & Development,Life Sciences,76,Male,Laboratory Technician,Divorced,No,Y,3,Avg,31,0.00%,655,7,0,4,1,4,0,48,3,2,4,1,5915,9528,3,22,4,4,80,1,10,7,7,1,7
No,Travel_Rarely,Research & Development,Life Sciences,77,Male,Manufacturing Director,Divorced,No,Y,2,Best,37,0.00%,1115,1,0,4,1,1,0,51,2,2,3,1,5993,2689,1,18,3,3,80,1,7,7,5,0,7
No,Travel_Rarely,Research & Development,Medical,78,Male,Manufacturing Director,Married,Yes,Y,3,Good,32,0.00%,427,1,0,3,1,1,0,33,3,2,4,1,6162,10877,1,22,4,2,80,1,9,9,8,7,8
No,Travel_Frequently,Research & Development,Life Sciences,79,Female,Laboratory Technician,Single,No,Y,2,Good,38,0.00%,653,29,0,5,1,4,1,50,3,2,4,0,2406,5456,1,11,3,4,80,0,10,10,3,9,9
No,Travel_Rarely,Research & Development,Medical,80,Female,Research Director,Divorced,Yes,Y,2,Avg,50,0.00%,989,7,0,2,1,2,1,43,2,5,3,0,18740,16701,5,12,3,4,80,1,29,27,3,13,8
No,Travel_Rarely,Sales,Life Sciences,81,Female,Sales Executive,Single,No,Y,3,Avg,59,0.00%,1435,25,0,3,1,1,1,99,3,3,1,0,7637,2354,7,11,3,4,80,0,28,21,16,7,9
No,Travel_Rarely,Research & Development,Technical Degree,83,Female,Healthcare Representative,Divorced,No,Y,2,Good,36,0.00%,1223,8,0,3,1,3,1,59,3,3,3,0,10096,8202,1,13,3,2,80,3,17,17,14,12,8
No,Travel_Rarely,Research & Development,Medical,84,Female,Manager,Divorced,Yes,Y,2,Good,55,0.00%,836,8,0,3,1,4,1,33,3,4,3,0,14756,19730,2,14,3,3,80,3,21,5,0,0,2
No,Travel_Frequently,Research & Development,Life Sciences,85,Male,Manufacturing Director,Single,No,Y,3,Good,36,0.00%,1195,11,0,3,1,2,0,95,2,2,2,1,6499,22656,1,13,3,3,80,0,6,6,5,0,3
No,Travel_Rarely,Research & Development,Life Sciences,86,Male,Research Scientist,Divorced,No,Y,2,Good,45,0.00%,1339,7,0,3,1,2,0,59,3,3,1,1,9724,18787,2,17,3,3,80,1,25,1,0,0,0
No,Travel_Frequently,Research & Development,Medical,88,Male,Research Scientist,Married,No,Y,2,Avg,35,0.00%,664,1,0,3,1,2,0,79,3,1,1,1,2194,5868,4,13,3,4,80,1,5,3,2,1,2
Yes,Travel_Rarely,Research & Development,Medical,90,Male,Research Scientist,Married,Yes,Y,0,Avg,36,100.00%,318,9,0,3,1,4,0,79,2,1,3,1,3388,21777,0,17,3,1,80,1,2,1,0,0,0
No,Travel_Frequently,Sales,Life Sciences,91,Female,Sales Executive,Single,No,Y,2,Avg,59,0.00%,1225,1,0,1,1,1,1,57,2,2,3,0,5473,24668,7,11,3,4,80,0,20,4,3,1,3
No,Travel_Rarely,Research & Development,Life Sciences,94,Male,Research Scientist,Married,No,Y,3,Good,29,0.00%,1328,2,0,3,1,3,0,76,3,1,2,1,2703,4956,0,23,4,4,80,1,6,5,4,0,4
No,Travel_Rarely,Research & Development,Medical,95,Male,Research Scientist,Single,No,Y,4,Good,31,0.00%,1082,1,0,4,1,3,0,87,3,1,2,1,2501,18775,1,17,3,2,80,0,1,1,1,1,0
No,Travel_Rarely,Research & Development,Life Sciences,96,Male,Research Scientist,Married,No,Y,3,Good,32,0.00%,548,1,0,3,1,2,0,66,3,2,2,1,6220,7346,1,17,3,2,80,2,10,10,4,0,9
No,Travel_Rarely,Research & Development,Life Sciences,97,Female,Laboratory Technician,Married,No,Y,3,Good,36,0.00%,132,6,0,3,1,2,1,55,4,1,4,0,3038,22002,3,12,3,2,80,0,5,1,0,0,0
No,Travel_Rarely,Research & Development,Life Sciences,98,Female,Manufacturing Director,Single,No,Y,2,Good,31,0.00%,746,8,0,4,1,3,1,61,3,2,4,0,4424,20682,1,23,4,4,80,0,11,11,7,1,8
No,Travel_Rarely,Sales,Marketing,100,Male,Sales Executive,Single,No,Y,2,Good,35,0.00%,776,1,0,4,1,3,0,32,2,2,1,1,4312,23016,0,14,3,2,80,0,16,15,13,2,8
No,Travel_Rarely,Research & Development,Other,101,Male,Research Director,Married,Yes,Y,3,Best,45,0.00%,193,6,0,4,1,4,0,52,3,3,1,1,13245,15067,4,14,3,2,80,0,17,0,0,0,0
No,Travel_Rarely,Research & Development,Medical,102,Male,Research Director,Single,No,Y,3,Best,37,0.00%,397,7,0,4,1,1,0,30,3,3,3,1,13664,25258,4,13,3,1,80,0,16,5,2,0,2
No,Travel_Rarely,Human Resources,Medical,103,Male,Human Resources,Divorced,Yes,Y,2,Good,46,0.00%,945,5,0,2,1,2,0,80,3,2,2,1,5021,10425,8,22,4,4,80,1,16,4,2,0,2
No,Travel_Rarely,Research & Development,Life Sciences,104,Male,Laboratory Technician,Married,Yes,Y,1,Avg,30,0.00%,852,1,0,1,1,4,0,55,2,2,4,1,5126,15998,1,12,3,3,80,2,10,10,8,3,0
No,Travel_Rarely,Research & Development,Medical,105,Male,Research Scientist,Single,No,Y,3,Good,35,0.00%,1214,1,0,3,1,2,0,30,2,1,3,1,2859,26278,1,18,3,1,80,0,6,6,4,0,4
No,Travel_Rarely,Sales,Life Sciences,106,Male,Sales Executive,Married,No,Y,4,Good,55,0.00%,111,1,0,2,1,1,0,70,3,3,4,1,10239,18092,3,14,3,4,80,1,24,1,0,1,0
No,Non-Travel,Research & Development,Medical,107,Female,Research Scientist,Divorced,Yes,Y,3,Good,38,0.00%,573,6,0,3,1,2,1,79,1,2,4,0,5329,15717,7,12,3,4,80,3,17,13,11,1,9
No,Travel_Rarely,Research & Development,Medical,110,Male,Manufacturing Director,Married,No,Y,2,Good,34,0.00%,1153,1,0,2,1,1,0,94,3,2,2,1,4325,17736,1,15,3,3,80,0,5,5,2,1,3
No,Travel_Rarely,Research & Development,Life Sciences,112,Male,Manufacturing Director,Single,No,Y,3,Avg,56,0.00%,1400,7,0,3,1,4,0,49,1,3,4,1,7260,21698,4,11,3,1,80,0,37,6,4,0,2
No,Travel_Rarely,Sales,Technical Degree,113,Male,Sales Representative,Divorced,No,Y,3,Good,23,0.00%,541,2,0,1,1,3,0,62,3,1,1,1,2322,9518,3,13,3,3,80,1,3,0,0,0,0
No,Travel_Rarely,Research & Development,Life Sciences,116,Male,Laboratory Technician,Married,No,Y,4,Good,51,0.00%,432,9,0,4,1,4,0,96,3,1,4,1,2075,18725,3,23,4,2,80,2,10,4,2,0,3
No,Travel_Rarely,Research & Development,Life Sciences,117,Male,Healthcare Representative,Married,No,Y,3,Good,30,0.00%,288,2,0,3,1,3,0,99,2,2,4,1,4152,15830,1,19,3,1,80,3,11,11,10,10,8
Yes,Travel_Rarely,Sales,Medical,118,Male,Sales Executive,Single,No,Y,3,Good,46,100.00%,669,9,0,2,1,3,0,64,2,3,4,1,9619,13596,1,16,3,4,80,0,9,9,8,4,7
No,Travel_Frequently,Research & Development,Life Sciences,119,Male,Healthcare Representative,Married,No,Y,3,Avg,40,0.00%,530,1,0,4,1,3,0,78,2,4,2,1,13503,14115,1,22,4,4,80,1,22,22,3,11,11
No,Travel_Rarely,Sales,Marketing,120,Male,Sales Executive,Single,Yes,Y,2,Bad,51,0.00%,632,21,0,4,1,3,0,71,3,2,4,1,5441,8423,0,22,4,4,80,0,11,10,7,1,0
No,Travel_Rarely,Sales,Medical,121,Female,Sales Executive,Divorced,Yes,Y,4,Avg,30,0.00%,1334,4,0,2,1,3,1,63,2,2,2,0,5209,19760,1,12,3,2,80,3,11,11,8,2,7
No,Travel_Frequently,Research & Development,Medical,124,Male,Healthcare Representative,Married,Yes,Y,5,Avg,46,0.00%,638,1,0,3,1,3,0,40,2,3,1,1,10673,3142,2,13,3,3,80,1,21,10,9,9,5
No,Travel_Rarely,Sales,Medical,125,Male,Sales Executive,Single,No,Y,0,Good,32,0.00%,1093,6,0,4,1,2,0,87,3,2,3,1,5010,24301,1,16,3,1,80,0,12,11,8,5,7
No,Travel_Rarely,Research & Development,Technical Degree,126,Female,Research Director,Married,No,Y,5,Bad,54,0.00%,1217,2,0,4,1,1,1,60,3,3,3,0,13549,24001,9,12,3,1,80,1,16,4,3,0,3
No,Travel_Rarely,Sales,Other,128,Female,Sales Executive,Married,No,Y,2,Avg,24,0.00%,1353,3,0,2,1,1,1,33,3,2,3,0,4999,17519,0,21,4,1,80,1,4,3,2,0,2
No,Non-Travel,Sales,Medical,129,Male,Sales Executive,Married,No,Y,3,Best,28,0.00%,120,4,0,3,1,2,0,43,3,2,3,1,4221,8863,1,15,3,2,80,0,5,5,4,0,4
No,Travel_Rarely,Sales,Medical,131,Male,Sales Executive,Single,No,Y,1,Avg,58,0.00%,682,10,0,4,1,4,0,37,3,4,3,1,13872,24409,0,13,3,3,80,0,38,37,10,1,8
No,Non-Travel,Research & Development,Medical,132,Male,Laboratory Technician,Married,No,Y,3,Best,44,0.00%,489,23,0,3,1,2,0,67,3,2,2,1,2042,25043,4,12,3,3,80,1,17,3,2,1,2
Yes,Travel_Rarely,Human Resources,Human Resources,133,Male,Human Resources,Divorced,Yes,Y,3,Good,37,100.00%,807,6,0,4,1,3,0,63,3,1,1,1,2073,23648,4,22,4,4,80,0,7,3,2,0,2
No,Travel_Rarely,Research & Development,Life Sciences,134,Male,Research Scientist,Single,No,Y,2,Good,32,0.00%,827,1,0,1,1,4,0,71,3,1,1,1,2956,15178,1,13,3,4,80,0,1,1,0,0,0
Yes,Travel_Frequently,Research & Development,Life Sciences,137,Female,Laboratory Technician,Single,Yes,Y,5,Good,20,100.00%,871,6,0,3,1,4,1,66,2,1,4,0,2926,19783,1,18,3,2,80,0,1,1,0,1,0
No,Travel_Rarely,Research & Development,Other,138,Female,Research Scientist,Single,No,Y,3,Good,34,0.00%,665,6,0,4,1,1,1,41,3,2,3,0,4809,12482,1,14,3,3,80,0,16,16,13,2,10
No,Non-Travel,Research & Development,Life Sciences,139,Male,Healthcare Representative,Divorced,No,Y,2,Best,37,0.00%,1040,2,0,2,1,3,0,100,2,2,4,1,5163,15850,5,14,3,4,80,1,17,1,0,0,0
No,Non-Travel,Human Resources,Human Resources,140,Female,Manager,Married,No,Y,3,Good,59,0.00%,1420,2,0,4,1,3,1,32,2,5,4,0,18844,21922,9,21,4,4,80,1,30,3,2,2,2
No,Travel_Frequently,Research & Development,Life Sciences,141,Female,Research Director,Married,Yes,Y,1,Avg,50,0.00%,1115,1,0,3,1,1,1,73,3,5,2,0,18172,9755,3,19,3,1,80,0,28,8,3,0,7
Yes,Travel_Rarely,Sales,Marketing,142,Male,Sales Executive,Single,Yes,Y,1,Good,25,100.00%,240,5,0,3,1,3,0,46,2,2,3,1,5744,26959,1,11,3,4,80,0,6,6,4,0,3
No,Travel_Rarely,Research & Development,Medical,143,Male,Research Scientist,Married,No,Y,2,Good,25,0.00%,1280,7,0,1,1,4,0,64,2,1,4,1,2889,26897,1,11,3,3,80,2,2,2,2,2,1
No,Travel_Rarely,Research & Development,Medical,144,Female,Laboratory Technician,Single,No,Y,5,Good,22,0.00%,534,15,0,3,1,2,1,59,3,1,4,0,2871,23785,1,15,3,3,80,0,1,0,0,0,0
No,Travel_Frequently,Research & Development,Medical,145,Female,Healthcare Representative,Single,No,Y,1,Avg,51,0.00%,1456,1,0,4,1,1,1,30,2,3,1,0,7484,25796,3,20,4,3,80,0,23,13,12,12,8
Yes,Travel_Frequently,Research & Development,Life Sciences,147,Male,Laboratory Technician,Single,Yes,Y,3,Good,34,100.00%,658,7,0,3,1,1,0,66,1,2,3,1,6074,22887,1,24,4,4,80,0,9,9,7,0,6
No,Non-Travel,Human Resources,Human Resources,148,Female,Manager,Single,Yes,Y,3,Good,54,0.00%,142,26,0,3,1,4,1,30,4,4,4,0,17328,13871,2,12,3,3,80,0,23,5,3,4,4
No,Travel_Rarely,Research & Development,Life Sciences,150,Male,Laboratory Technician,Married,No,Y,2,Good,24,0.00%,1127,18,0,1,1,2,0,52,3,1,3,1,2774,13257,0,12,3,3,80,1,6,5,3,1,2
No,Travel_Rarely,Research & Development,Life Sciences,151,Female,Research Scientist,Divorced,No,Y,3,Good,34,0.00%,1031,6,0,4,1,3,1,45,2,2,2,0,4505,15000,6,15,3,3,80,1,12,1,0,0,0
No,Travel_Rarely,Sales,Life Sciences,152,Male,Sales Executive,Single,No,Y,3,Good,37,0.00%,1189,3,0,3,1,3,0,87,3,3,4,1,7428,14506,2,12,3,1,80,0,12,5,3,1,3
No,Travel_Rarely,Research & Development,Medical,153,Female,Manager,Single,No,Y,6,Good,34,0.00%,1354,5,0,3,1,3,1,45,2,3,1,0,11631,5615,2,12,3,4,80,0,14,11,10,5,8
No,Travel_Frequently,Sales,Technical Degree,154,Female,Sales Executive,Married,No,Y,6,Good,36,0.00%,1467,11,0,2,1,2,1,92,3,3,4,0,9738,22952,0,14,3,3,80,1,10,9,7,2,8
No,Travel_Rarely,Research & Development,Life Sciences,155,Female,Laboratory Technician,Divorced,No,Y,2,Good,36,0.00%,922,3,0,2,1,1,1,39,3,1,4,0,2835,2561,5,22,4,1,80,1,7,1,0,0,0
No,Travel_Frequently,Sales,Life Sciences,158,Male,Manager,Married,Yes,Y,3,Best,43,0.00%,394,26,0,2,1,3,0,92,3,4,4,1,16959,19494,1,12,3,4,80,2,25,25,12,4,12
No,Travel_Frequently,Research & Development,Life Sciences,159,Male,Research Scientist,Divorced,No,Y,2,Avg,30,0.00%,1312,23,0,3,1,1,0,96,1,1,3,1,2613,22310,1,25,4,3,80,3,10,10,7,0,9
No,Non-Travel,Sales,Marketing,160,Male,Sales Executive,Married,No,Y,2,Best,33,0.00%,750,22,0,2,1,3,0,95,3,2,2,1,6146,15480,0,13,3,1,80,1,8,7,7,0,7
Yes,Travel_Rarely,Research & Development,Life Sciences,161,Female,Research Scientist,Married,Yes,Y,2,Good,56,100.00%,441,14,0,4,1,2,1,72,3,1,2,0,4963,4510,9,18,3,1,80,3,7,5,4,4,3
No,Travel_Rarely,Research & Development,Life Sciences,162,Male,Research Director,Single,No,Y,5,Good,51,0.00%,684,6,0,3,1,1,0,51,3,5,3,1,19537,6462,7,13,3,3,80,0,23,20,18,15,15
